id;nature;couleur;nb_places;date_realisation;observations;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_actif;meta_resolution_spatiale;meta_licence;meta_observations;meta_genealogie;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
685;;;;;;84007;;20190425122235;20190425122235;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845310.4078838171;6315846.745626251;4.809540123174321;43.926639106584936;43.926639106584936;4.809540123174321
686;;;;;;84007;;20190425122235;20190425122235;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845441.059757505;6315838.352233153;4.811164154273122;43.926536634895676;43.926536634895676;4.811164154273122
689;;;;;;84007;;20190425122320;20190425122320;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845794.5067891391;6317871.081668083;4.816146156394266;43.94475244947068;43.94475244947068;4.816146156394266
691;;;;;;84007;;20190425122809;20190425122809;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845714.4696613159;6317765.885855342;4.815119376666732;43.94382253860362;43.94382253860362;4.815119376666732
693;;;;;;84007;;20190425122809;20190425122809;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845641.2660560764;6317728.782658169;4.814197206315587;43.94350385115494;43.94350385115494;4.814197206315587
690;;;;;;84007;;20190425122320;20190425122915;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845804.5534662665;6317888.806466007;4.816276340410349;43.944909844248535;43.944909844248535;4.816276340410349
759;;;;;;84007;;20190425154618;20190425154618;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;850731.9261569382;6315116.540222532;4.876812842140315;43.91893061390111;43.91893061390111;4.876812842140315
760;;;;;;84007;;20190425154618;20190425154618;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;850758.8483612132;6315089.934750071;4.877140059363881;43.91868548737772;43.91868548737772;4.877140059363881
761;;;;;;84007;;20190425154618;20190425154618;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;850779.5151121421;6315086.76743192;4.877396352355554;43.918652569870005;43.918652569870005;4.877396352355554
762;;;;;;84007;;20190425154618;20190425154618;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;850801.765522146;6315101.059955074;4.877677524764381;43.91877639797344;43.91877639797344;4.877677524764381
